name_hotel,url_hotel,adress_hotel,price_hotel,position_by_city_hotel,city_hotel,country_hotel,localisation_hotel,global_rate_hotel,category_hotel,style_hotel,equipments_hotel
Sofitel Berlin Gendarmenmarkt,https://www.tripadvisor.fr/Hotel_Review-g187323-d200257-Reviews-Sofitel_Berlin_Gendarmenmarkt-Berlin.html,"Charlottenstr. 50-52, 10117 Berlin Allemagne",,55 sur 638,Berlin  ,Allemagne  ,Europe||Allemagne||Berlin,4.5,5.0,Vert||Au centre-ville,Service de voiturier||Internet haut débit gratuit (Wi-Fi)||Centre de remise en forme/Salle de sport||Bar/lounge||Location de vélos||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Navette aéroport||Centre d'affaires avec accès Internet||Parking public payant à proximité||Wi-Fi||Vestiaires du spa/centre de remise en forme||Sauna||Restaurant||Buffet de petit-déjeuner||Salles de conférence||Salle de réception||Salles de réunion||Spa||Massage en couple||Massage corporel complet||Hammam||Massage||Bain de vapeur||Stockage des bagages||Concierge||Change des devises||Journal||Hôtel non-fumeurs||Boutiques||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Service de repassage||Cirage||Climatisation||Service de ménage||Service en chambre||Coffre-fort||Téléphone||Minibar||Télévision à écran plat||Chambres non-fumeurs||Suites||Service de voiturier||Internet haut débit gratuit (Wi-Fi)||Centre de remise en forme/Salle de sport||Bar/lounge||Location de vélos||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Navette aéroport||Centre d'affaires avec accès Internet||Parking public payant à proximité||Wi-Fi||Vestiaires du spa/centre de remise en forme||Sauna||Restaurant||Buffet de petit-déjeuner||Salles de conférence||Salle de réception||Salles de réunion||Spa||Massage en couple||Massage corporel complet||Hammam||Massage||Bain de vapeur||Stockage des bagages||Concierge||Change des devises||Journal||Hôtel non-fumeurs||Boutiques||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Service de repassage||Cirage||Climatisation||Service de ménage||Service en chambre||Coffre-fort||Téléphone||Minibar||Télévision à écran plat||Chambres non-fumeurs||Suites
Chateau de Labro,https://www.tripadvisor.fr/Hotel_Review-g635808-d674452-Reviews-Chateau_de_Labro-Onet_le_Chateau_Aveyron_Occitanie.html,"Château De Labro Labro, 12850 Onet-le-Château France",141,1 sur 3,Hôtels Onet-le-Château  ,France  ,Europe||France||Occitanie||Aveyron||Onet-le-Château||Hôtels Onet-le-Château,4.5,,,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Vestiaires du spa/centre de remise en forme||Restaurant||Centre d'affaires avec accès Internet||Salles de conférence||Spa||Station de recharge pour véhicules électriques||Wi-Fi||Jacuzzi||Piscine extérieure||Sauna||Petit-déjeuner disponible||Buffet de petit-déjeuner||Salle de réception||Salles de réunion||Soins du visage||Massage corporel complet||Hôtel non-fumeurs||Peignoirs||Climatisation||Coffre-fort||Télévision à écran plat||Chambres non-fumeurs||Chambres familiales||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Vestiaires du spa/centre de remise en forme||Restaurant||Centre d'affaires avec accès Internet||Salles de conférence||Spa||Station de recharge pour véhicules électriques||Wi-Fi||Jacuzzi||Piscine extérieure||Sauna||Petit-déjeuner disponible||Buffet de petit-déjeuner||Salle de réception||Salles de réunion||Soins du visage||Massage corporel complet||Hôtel non-fumeurs||Peignoirs||Climatisation||Coffre-fort||Télévision à écran plat||Chambres non-fumeurs||Chambres familiales
Château Des Vigiers,https://www.tripadvisor.fr/Hotel_Review-g1180943-d239687-Reviews-Chateau_Des_Vigiers-Monestier_Bergerac_Dordogne_Nouvelle_Aquitaine.html,"Lieu Dit Le Vigier D18, 24240 Monestier, Bergerac France",184,1 sur 2,Monestier  ,France  ,Europe||France||Nouvelle-Aquitaine||Dordogne – Périgord||Bergerac||Monestier,4.5,4.0,Superbe vue,Parking gratuit||Internet gratuit||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Location de vélos||Terrain de golf||Navette aéroport||Wi-Fi||Jacuzzi||Piscine extérieure||Piscine chauffée||Vestiaires du spa/centre de remise en forme||Sauna||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Petit-déjeuner dans la chambre||Menus spéciaux||Court de tennis||Billard||Location de voitures||Centre d'affaires avec accès Internet||Salles de conférence||Salle de réception||Salles de réunion||Spa||Hammam||Massage||Stockage des bagages||Concierge||Change des devises||Boutique de cadeaux||Journal||Hôtel non-fumeurs||Salon commun/espace TV||Boutiques||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Climatisation||Cheminée||Service de ménage||Balcon privé||Service en chambre||Coffre-fort||Minibar||Télévision à écran plat||Chambres non-fumeurs||Suites||Chambres familiales||Parking gratuit||Internet gratuit||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Location de vélos||Terrain de golf||Navette aéroport||Wi-Fi||Jacuzzi||Piscine extérieure||Piscine chauffée||Vestiaires du spa/centre de remise en forme||Sauna||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Petit-déjeuner dans la chambre||Menus spéciaux||Court de tennis||Billard||Location de voitures||Centre d'affaires avec accès Internet||Salles de conférence||Salle de réception||Salles de réunion||Spa||Hammam||Massage||Stockage des bagages||Concierge||Change des devises||Boutique de cadeaux||Journal||Hôtel non-fumeurs||Salon commun/espace TV||Boutiques||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Climatisation||Cheminée||Service de ménage||Balcon privé||Service en chambre||Coffre-fort||Minibar||Télévision à écran plat||Chambres non-fumeurs||Suites||Chambres familiales
Hôtel Régis et Jacques Marcon,https://www.tripadvisor.fr/Hotel_Review-g950950-d2196801-Reviews-Hotel_Regis_et_Jacques_Marcon-Saint_Bonnet_le_Froid_Haute_Loire_Auvergne_Rhone_Alpes.html,"Lieu Dit Larsiallas, 43290 Saint-Bonnet-le-Froid France",66,2 sur 3,Saint-Bonnet-le-Froid  ,France  ,Europe||France||Auvergne-Rhône-Alpes||Haute-Loire||Saint-Bonnet-le-Froid,5.0,,,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Spa||Hôtel non-fumeurs||Service de blanchisserie||Wi-Fi||Restaurant||Buffet de petit-déjeuner||Vin/champagne||Climatisation||Minibar||Chambres non-fumeurs||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Spa||Hôtel non-fumeurs||Service de blanchisserie||Wi-Fi||Restaurant||Buffet de petit-déjeuner||Vin/champagne||Climatisation||Minibar||Chambres non-fumeurs
Elewana Arusha Coffee Lodge,https://www.tripadvisor.fr/Hotel_Review-g297913-d639944-Reviews-Elewana_Arusha_Coffee_Lodge-Arusha_Arusha_Region.html,"Dodoma Road, Arusha Tanzanie",383,10 sur 284,Hôtels Arusha  ,Tanzanie  ,Afrique||Tanzanie||Région d'Arusha||Arusha||Hôtels Arusha,4.5,4.0,Charmant||Romantique,Parking gratuit||Internet gratuit||Piscine||Petit-déjeuner inclus||Navette aéroport||Centre d'affaires avec accès Internet||Salles de conférence||Massage||Parking||Wi-Fi||Piscine extérieure||Bar/lounge||Restaurant||Menus pour les enfants||Menus spéciaux||Salles de réunion||Stockage des bagages||Concierge||Change des devises||Boutique de cadeaux||Moustiquaire||Hôtel non-fumeurs||Mobilier d'extérieur||Espace pique-nique||Salon commun/espace TV||Boutiques||Solarium||Réception 24 heures sur 24||Arrivée/départ privé||Nettoyage à sec||Service de blanchisserie||Service de repassage||Service de ménage||Balcon privé||Service en chambre||Coffre-fort||Canapé||Minibar||Baignoire/douche||Produits de toilette gratuits||Téléphone||Service de réveil/réveil-matin||Chambres non-fumeurs||Suites||Chambres familiales||Parking gratuit||Internet gratuit||Piscine||Petit-déjeuner inclus||Navette aéroport||Centre d'affaires avec accès Internet||Salles de conférence||Massage||Parking||Wi-Fi||Piscine extérieure||Bar/lounge||Restaurant||Menus pour les enfants||Menus spéciaux||Salles de réunion||Stockage des bagages||Concierge||Change des devises||Boutique de cadeaux||Moustiquaire||Hôtel non-fumeurs||Mobilier d'extérieur||Espace pique-nique||Salon commun/espace TV||Boutiques||Solarium||Réception 24 heures sur 24||Arrivée/départ privé||Nettoyage à sec||Service de blanchisserie||Service de repassage||Service de ménage||Balcon privé||Service en chambre||Coffre-fort||Canapé||Minibar||Baignoire/douche||Produits de toilette gratuits||Téléphone||Service de réveil/réveil-matin||Chambres non-fumeurs||Suites||Chambres familiales
Elewana Tarangire Treetops,https://www.tripadvisor.fr/Hotel_Review-g608450-d606408-Reviews-Elewana_Tarangire_Treetops-Tarangire_National_Park_Arusha_Region.html,"Tarangire Conservation Area, Tarangire National Park Tanzanie",1 178,9 sur 39,Hôtels Tarangire National Park  ,Tanzanie  ,Afrique||Tanzanie||Région d'Arusha||Tarangire National Park||Hôtels Tarangire National Park,5.0,4.5,Hôtels originaux||Original,Parking gratuit||Internet gratuit||Piscine||Petit-déjeuner inclus||Stockage des bagages||Concierge||Réception 24 heures sur 24||Service de blanchisserie||Internet||Piscine avec vue||Piscine extérieure||Bar/lounge||Restaurant||Bar côté piscine||Boutique de cadeaux||Hôtel non-fumeurs||Solarium||Service de majordome||Service de ménage||Balcon privé||Coffre-fort||Chambres non-fumeurs||Chambres familiales||Parking gratuit||Internet gratuit||Piscine||Petit-déjeuner inclus||Stockage des bagages||Concierge||Réception 24 heures sur 24||Service de blanchisserie||Internet||Piscine avec vue||Piscine extérieure||Bar/lounge||Restaurant||Bar côté piscine||Boutique de cadeaux||Hôtel non-fumeurs||Solarium||Service de majordome||Service de ménage||Balcon privé||Coffre-fort||Chambres non-fumeurs||Chambres familiales
andBeyond Ngorongoro Crater Lodge,https://www.tripadvisor.fr/Hotel_Review-g317085-d469362-Reviews-AndBeyond_Ngorongoro_Crater_Lodge-Ngorongoro_Conservation_Area_Arusha_Region.html,"Ngorongoro Crater, Ngorongoro Conservation Area Tanzanie",6 522,9 sur 39,Hôtels Ngorongoro Conservation Area  ,Tanzanie  ,Afrique||Tanzanie||Région d'Arusha||Ngorongoro Conservation Area||Hôtels Ngorongoro Conservation Area,5.0,4.0,Joyau caché||Superbe vue,Internet gratuit||Petit-déjeuner inclus||Navette aéroport||Massage||Concierge||Hôtel non-fumeurs||Arrivée/départ privé||Service de blanchisserie||Wi-Fi||Bar/lounge||Restaurant||Buffet de petit-déjeuner||Menus spéciaux||Service de majordome||Peignoirs||Cheminée||Balcon privé||Service en chambre||Coffre-fort||Téléphone||Service de réveil/réveil-matin||Minibar||Chambres non-fumeurs||Suites||Chambres familiales||Internet gratuit||Petit-déjeuner inclus||Navette aéroport||Massage||Concierge||Hôtel non-fumeurs||Arrivée/départ privé||Service de blanchisserie||Wi-Fi||Bar/lounge||Restaurant||Buffet de petit-déjeuner||Menus spéciaux||Service de majordome||Peignoirs||Cheminée||Balcon privé||Service en chambre||Coffre-fort||Téléphone||Service de réveil/réveil-matin||Minibar||Chambres non-fumeurs||Suites||Chambres familiales
La Belle Tortue Lodge,https://www.tripadvisor.fr/Hotel_Review-g477971-d3444360-Reviews-La_Belle_Tortue_Lodge-Silhouette_Island.html,"La Passe, Silhouette Island Îles Seychelles",,,Hôtels Silhouette Island  ,Îles Seychelles  ,Afrique||Îles Seychelles||Silhouette Island||Hôtels Silhouette Island,5.0,,,"Internet haut débit gratuit (Wi-Fi)||Jacuzzi||Petit-déjeuner inclus||Plage||Vélos disponibles||Babysitting||Livres, DVD, musique pour les enfants||Navette aéroport||Internet||Serviettes de plage/piscine||Bar/lounge||Restaurant||Petit-déjeuner disponible||Petit-déjeuner dans la chambre||Thé offert||Boisson de bienvenue offerte||Menus pour les enfants||Snack-bar||Menus spéciaux||Vin/champagne||Bateau||Canoë||Plongée||Salle de jeux||Randonnée||Plongée avec masque et tuba||Pêche||Visites pédestres||Jeux de société/puzzles||Chaînes de télévision pour enfants||Chaises hautes disponibles||Service de taxi||Salle de réception||Salles de réunion||Sécurité 24 heures sur 24||Installations de barbecue||Stockage des bagages||Chapelle/lieu de culte||Concierge||Boutique de cadeaux||Hôtel non-fumeurs||Mobilier d'extérieur||Salon commun/espace TV||Chaises longues/chaises de plage||Solarium||Service de majordome||Infirmerie||Arrivée/départ privé||Service de blanchisserie||Service de repassage||Rideaux occultants||Chambres insonorisées||Climatisation||Plage privée||Bureau||Cafetière/théière||Télévision à écran plat||Douche à l'italienne||Peignoirs||Service de ménage||Chambres communicantes disponibles||Balcon privé||Coffre-fort||Coin salon||Salle à manger séparée||Canapé||Téléphone||Équipements de chambre VIP||Penderie/armoire||Eau en bouteille||Penderie||Salles de bain privatives||Sol en marbre/carrelage||Service de réveil/réveil-matin||Minibar||Réfrigérateur||Bouilloire électrique||Films à la demande||Produits de toilette gratuits||Sèche-cheveux||Vue sur la montagne||Vue sur l'océan||Suite nuptiale||Chambres non-fumeurs||Suites||Chambres familiales||Internet haut débit gratuit (Wi-Fi)||Jacuzzi||Petit-déjeuner inclus||Plage||Vélos disponibles||Babysitting||Livres, DVD, musique pour les enfants||Navette aéroport||Internet||Serviettes de plage/piscine||Bar/lounge||Restaurant||Petit-déjeuner disponible||Petit-déjeuner dans la chambre||Thé offert||Boisson de bienvenue offerte||Menus pour les enfants||Snack-bar||Menus spéciaux||Vin/champagne||Bateau||Canoë||Plongée||Salle de jeux||Randonnée||Plongée avec masque et tuba||Pêche||Visites pédestres||Jeux de société/puzzles||Chaînes de télévision pour enfants||Chaises hautes disponibles||Service de taxi||Salle de réception||Salles de réunion||Sécurité 24 heures sur 24||Installations de barbecue||Stockage des bagages||Chapelle/lieu de culte||Concierge||Boutique de cadeaux||Hôtel non-fumeurs||Mobilier d'extérieur||Salon commun/espace TV||Chaises longues/chaises de plage||Solarium||Service de majordome||Infirmerie||Arrivée/départ privé||Service de blanchisserie||Service de repassage||Rideaux occultants||Chambres insonorisées||Climatisation||Plage privée||Bureau||Cafetière/théière||Télévision à écran plat||Douche à l'italienne||Peignoirs||Service de ménage||Chambres communicantes disponibles||Balcon privé||Coffre-fort||Coin salon||Salle à manger séparée||Canapé||Téléphone||Équipements de chambre VIP||Penderie/armoire||Eau en bouteille||Penderie||Salles de bain privatives||Sol en marbre/carrelage||Service de réveil/réveil-matin||Minibar||Réfrigérateur||Bouilloire électrique||Films à la demande||Produits de toilette gratuits||Sèche-cheveux||Vue sur la montagne||Vue sur l'océan||Suite nuptiale||Chambres non-fumeurs||Suites||Chambres familiales"
Chauve Souris Relais,https://www.tripadvisor.fr/Hotel_Review-g1191832-d1025280-Reviews-Chauve_Souris_Relais-Anse_Volbert_Praslin_Island.html,"Anse Volbert, Île de Praslin Îles Seychelles",338,6 sur 10,Anse Volbert  ,Îles Seychelles  ,Afrique||Îles Seychelles||Île de Praslin||Anse Volbert,4.5,,,Wi-Fi payant||Restaurant||Plage
Fourviere Hotel,https://www.tripadvisor.fr/Hotel_Review-g187265-d8820474-Reviews-Fourviere_Hotel-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"23 rue Roger Radisson, 69005 Lyon France",149,15 sur 151,Lyon  ,France  ,Europe||France||Auvergne-Rhône-Alpes||Rhone||Lyon,4.5,4.0,Hôtel historique||Vue sur le parc,Parking||Internet haut débit gratuit (Wi-Fi)||Piscine||Bar/lounge||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Centre d'affaires avec accès Internet||Salles de conférence||Spa||Wi-Fi||Jacuzzi||Piscine extérieure||Piscine chauffée||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Salle de réception||Salles de réunion||Bain de vapeur||Stockage des bagages||Concierge||Hôtel non-fumeurs||Nettoyage à sec||Service de blanchisserie||Chambres insonorisées||Climatisation||Service en chambre||Coffre-fort||Minibar||Télévision à écran plat||Chambres non-fumeurs||Suites||Chambres familiales||Parking||Internet haut débit gratuit (Wi-Fi)||Piscine||Bar/lounge||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Centre d'affaires avec accès Internet||Salles de conférence||Spa||Wi-Fi||Jacuzzi||Piscine extérieure||Piscine chauffée||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Salle de réception||Salles de réunion||Bain de vapeur||Stockage des bagages||Concierge||Hôtel non-fumeurs||Nettoyage à sec||Service de blanchisserie||Chambres insonorisées||Climatisation||Service en chambre||Coffre-fort||Minibar||Télévision à écran plat||Chambres non-fumeurs||Suites||Chambres familiales
